Player,Span,Start_ Year,End_Year,Career_Length,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Wickets_Per_Match,Economy_Score,Bowling_Impact_Score,Five_Wicket_Rate
Ariful Haque (BDESH),2018-2018,2018,2018,0,9,1,1,0,13,1,Jan-13,13,13,6,0,0,0.11,0.08,0.10,0.000
B Arora (MALTA),2019-2019,2019,2019,0,4,4,11.1,0,75,1,Jan-26,75,6.71,67,0,0,0.25,0.15,0.22,0.000
Asad Mohammad (GER),2019-2019,2019,2019,0,9,8,24,0,158,1,Jan-18,158,6.58,144,0,0,0.11,0.15,0.12,0.000
Asghar Afghan (AFG),2010-2019,2010,2019,9,66,1,0.4,0,4,1,01-Apr,4,6,4,0,0,0.02,0.17,0.06,0.000
AA Banner (Blz),2019-2019,2019,2019,0,3,2,8,0,39,1,Jan-18,39,4.87,48,0,0,0.33,0.21,0.29,0.000
CD Barnwell (WI),2011-2013,2011,2013,2,6,4,6,0,51,1,Jan-24,51,8.5,36,0,0,0.17,0.12,0.15,0.000
A Bhattarai (NEPAL),2014-2014,2014,2014,0,1,1,3,0,12,1,01-Dec,12,4,18,0,0,1.00,0.25,0.78,0.000
SR Bhudia (KENYA),2019-2019,2019,2019,0,4,4,9,0,63,1,01-Jun,63,7,54,0,0,0.25,0.14,0.22,0.000
STR Binny (INDIA),2015-2016,2015,2016,1,3,3,5,0,54,1,Jan-14,54,10.8,30,0,0,0.33,0.09,0.26,0.000
CC Blake (VAN),2019-2019,2019,2019,0,3,3,8,0,49,1,Jan-15,49,6.12,48,0,0,0.33,0.16,0.28,0.000
N Boje (SA),2005-2005,2005,2005,0,1,1,4,0,27,1,Jan-27,27,6.75,24,0,0,1.00,0.15,0.74,0.000
SG Borthwick (ENG),2011-2011,2011,2011,0,1,1,4,0,15,1,Jan-15,15,3.75,24,0,0,1.00,0.27,0.78,0.000
DL Brangman (BMUDA),2019-2019,2019,2019,0,5,5,7,0,84,1,Jan-19,84,12,42,0,0,0.20,0.08,0.17,0.000
CL Cairns (NZ),2005-2006,2005,2006,1,2,2,8,0,52,1,Jan-28,52,6.5,48,0,0,0.50,0.15,0.40,0.000
A Carthew (Chile),2019-2019,2019,2019,0,4,1,2,0,19,1,Jan-19,19,9.5,12,0,0,0.25,0.11,0.21,0.000
RD Chahar (INDIA),2019-2019,2019,2019,0,1,1,3,0,27,1,Jan-27,27,9,18,0,0,1.00,0.11,0.73,0.000
Charanjeet Singh (ITA),2019-2019,2019,2019,0,3,2,5,0,35,1,Jan-18,35,7,30,0,0,0.33,0.14,0.28,0.000
MS Crane (ENG),2017-2017,2017,2017,0,2,2,8,0,62,1,Jan-38,62,7.75,48,0,0,0.50,0.13,0.39,0.000
H Dajc (Serb),2019-2019,2019,2019,0,2,1,4,0,36,1,Jan-36,36,9,24,0,0,0.50,0.11,0.38,0.000
H Davids (SA),2012-2013,2012,2013,1,9,2,2,0,13,1,01-Jun,13,6.5,12,0,0,0.11,0.15,0.12,0.000
PA Desai (CAN),2012-2012,2012,2012,0,1,1,3,0,30,1,Jan-30,30,10,18,0,0,1.00,0.10,0.73,0.000
R Dhawan (INDIA),2016-2016,2016,2016,0,1,1,4,0,42,1,Jan-42,42,10.5,24,0,0,1.00,0.10,0.73,0.000
M Dixit (LUX),2019-2019,2019,2019,0,3,3,9,0,93,1,Jan-51,93,10.33,54,0,0,0.33,0.10,0.26,0.000
KR Ebanks (Caym),2019-2019,2019,2019,0,5,5,11,0,104,1,Jan-25,104,9.45,66,0,0,0.20,0.11,0.17,0.000
Faisal Khan (Saudi),2019-2019,2019,2019,0,4,1,2,0,21,1,Jan-21,21,10.5,12,0,0,0.25,0.10,0.20,0.000
Fayyaz Ahmed (UAE),2015-2015,2015,2015,0,1,1,3,0,29,1,Jan-29,29,9.66,18,0,0,1.00,0.10,0.73,0.000
Fiaz Ahmad (KUW),2019-2019,2019,2019,0,3,3,5,0,56,1,Jan-13,56,11.2,30,0,0,0.33,0.09,0.26,0.000
KK Flowers (Blz),2019-2019,2019,2019,0,3,1,2,0,16,1,Jan-16,16,8,12,0,0,0.33,0.13,0.27,0.000
C Floyd (NL),2019-2019,2019,2019,0,2,2,5,0,51,1,Jan-14,51,10.2,30,0,0,0.50,0.10,0.38,0.000
C Fry (LUX),2019-2019,2019,2019,0,3,3,7,1,62,1,01-Mar,62,8.85,42,0,0,0.33,0.11,0.27,0.000
MD Garratt (GIBR),2019-2019,2019,2019,0,4,1,2.5,0,12,1,01-Dec,12,4.23,17,0,0,0.25,0.24,0.25,0.000
JN Gillespie (AUS),2005-2005,2005,2005,0,1,1,4,0,49,1,Jan-49,49,12.25,24,0,0,1.00,0.08,0.72,0.000
NA Greenwood (JER),2019-2019,2019,2019,0,8,2,2,0,14,1,01-Apr,14,7,12,0,0,0.13,0.14,0.13,0.000
L Gregory (ENG),2019-2019,2019,2019,0,5,2,4,0,29,1,01-Oct,29,7.25,24,0,0,0.20,0.14,0.18,0.000
Hardev Singh (Chile),2019-2019,2019,2019,0,3,1,1,0,12,1,01-Dec,12,12,6,0,0,0.33,0.08,0.26,0.000
SJ Harmison (ENG),2005-2006,2005,2006,1,2,2,6.3,0,42,1,Jan-13,42,6.46,39,0,0,0.50,0.15,0.40,0.000
Haroon Arshad (HKG),2019-2019,2019,2019,0,10,8,13.5,0,108,1,01-Apr,108,7.8,83,0,0,0.10,0.13,0.11,0.000
Haroon Mughal (MALTA),2019-2019,2019,2019,0,4,2,3,0,31,1,Jan-17,31,10.33,18,0,0,0.25,0.10,0.20,0.000
TM Head (AUS),2016-2018,2016,2018,2,16,3,4,0,39,1,Jan-16,39,9.75,24,0,0,0.06,0.10,0.07,0.000
R Hekure (PNG),2019-2019,2019,2019,0,8,6,4.5,0,37,1,01-Jun,37,7.65,29,0,0,0.13,0.13,0.13,0.000
BJ Hodge (AUS),2007-2014,2007,2014,7,15,3,5,0,43,1,Jan-13,43,8.6,30,0,0,0.07,0.12,0.08,0.000
S Hongsi (THAI),2019-2019,2019,2019,0,3,2,3,0,35,1,Jan-15,35,11.66,18,0,0,0.33,0.09,0.26,0.000
A Husain (Arg),2019-2019,2019,2019,0,5,4,10,0,51,1,01-Jun,51,5.1,60,0,0,0.20,0.20,0.20,0.000
GM Hyde (Blz),2019-2019,2019,2019,0,3,2,5,0,43,1,Jan-14,43,8.6,30,0,0,0.33,0.12,0.27,0.000
Ibrahim Rizan (Mald),2019-2019,2019,2019,0,5,4,8.1,0,63,1,Jan-22,63,7.71,49,0,0,0.20,0.13,0.18,0.000
Iftikhar Anjum (PAK),2007-2009,2007,2009,2,2,2,8,0,67,1,Jan-34,67,8.37,48,0,0,0.50,0.12,0.39,0.000
AJ Ireland (ZIM),2006-2006,2006,2006,0,1,1,3,0,33,1,Jan-33,33,11,18,0,0,1.00,0.09,0.73,0.000
Irfan Mir (Chile),2019-2019,2019,2019,0,4,4,15,0,73,1,Jan-26,73,4.86,90,0,0,0.25,0.21,0.24,0.000
E Isaneez (UGA),2019-2019,2019,2019,0,3,3,9.2,0,53,1,Jan-16,53,5.67,56,0,0,0.33,0.18,0.29,0.000
Ismat Ullah (),2019-2019,2019,2019,0,4,2,4,0,16,1,01-Sep,16,4,24,0,0,0.25,0.25,0.25,0.000
Jaspreet Singh (ITA),2019-2019,2019,2019,0,5,2,5,0,53,1,Jan-26,53,10.6,30,0,0,0.20,0.09,0.17,0.000
D Kansonkho (MWI),2019-2019,2019,2019,0,7,3,7.3,0,60,1,Jan-15,60,8,45,0,0,0.14,0.13,0.14,0.000
A Karn (NEPAL),2015-2015,2015,2015,0,2,2,8,0,49,1,Jan-31,49,6.12,48,0,0,0.50,0.16,0.40,0.000
N Khanna (MALTA),2019-2019,2019,2019,0,2,2,4,0,47,1,Jan-26,47,11.75,24,0,0,0.50,0.09,0.38,0.000
B Khumalo (Botsw),2019-2019,2019,2019,0,3,3,11,0,96,1,Jan-23,96,8.72,66,0,0,0.33,0.11,0.27,0.000
Khurram Chohan (CAN),2010-2010,2010,2010,0,4,4,12.1,0,106,1,Jan-24,106,8.71,73,0,0,0.25,0.11,0.21,0.000
Khurram Khan (UAE),2014-2014,2014,2014,0,3,1,1,0,8,1,01-Aug,8,8,6,0,0,0.33,0.13,0.27,0.000
JH Kiani (PHI),2019-2019,2019,2019,0,4,1,4,0,26,1,Jan-26,26,6.5,24,0,0,0.25,0.15,0.22,0.000
H Lakov (),2019-2019,2019,2019,0,3,3,12,1,72,1,Jan-23,72,6,72,0,0,0.33,0.17,0.28,0.000
CA Liyanage (Mald),2019-2019,2019,2019,0,2,2,5,0,47,1,Jan-33,47,9.4,30,0,0,0.50,0.11,0.38,0.000
J Long (PHI),2019-2019,2019,2019,0,2,1,2,0,26,1,Jan-26,26,13,12,0,0,0.50,0.08,0.37,0.000
NM Lyon (AUS),2016-2018,2016,2018,2,2,2,5,0,48,1,Jan-33,48,9.6,30,0,0,0.50,0.10,0.38,0.000
RT Lyons (SCOT),2010-2010,2010,2010,0,2,2,6,0,40,1,Jan-26,40,6.66,36,0,0,0.50,0.15,0.40,0.000
OC McCoy (WI),2019-2019,2019,2019,0,2,1,3,0,44,1,Jan-44,44,14.66,18,0,0,0.50,0.07,0.37,0.000
Mahmad Data (PNM),2019-2019,2019,2019,0,2,2,5,0,31,1,Jan-15,31,6.2,30,0,0,0.50,0.16,0.40,0.000
A Makesh (KUW),2019-2019,2019,2019,0,4,4,9,1,79,1,Jan-19,79,8.77,54,0,0,0.25,0.11,0.21,0.000
DJ Malan (ENG),2017-2019,2017,2019,2,9,1,2,0,27,1,Jan-27,27,13.5,12,0,0,0.11,0.07,0.10,0.000
WJ Malinda (Mald),2019-2019,2019,2019,0,3,1,4,0,27,1,Jan-27,27,6.75,24,0,0,0.33,0.15,0.28,0.000
OM Marshall (Peru),2019-2019,2019,2019,0,3,2,3,0,22,1,01-Oct,22,7.33,18,0,0,0.33,0.14,0.27,0.000
A Martin (WI),2011-2011,2011,2011,0,1,1,3,0,20,1,Jan-20,20,6.66,18,0,0,1.00,0.15,0.75,0.000
T Maruma (ZIM),2008-2019,2008,2019,11,13,2,3,0,20,1,01-Aug,20,6.66,18,0,0,0.08,0.15,0.10,0.000
WT Mashinge (ZIM),2019-2019,2019,2019,0,2,2,5,0,57,1,Jan-37,57,11.4,30,0,0,0.50,0.09,0.38,0.000
N Master (Botsw),2019-2019,2019,2019,0,2,1,4,0,30,1,Jan-30,30,7.5,24,0,0,0.50,0.13,0.39,0.000
Md Shafiqul Haque (THAI),2019-2019,2019,2019,0,4,1,3,0,25,1,Jan-25,25,8.33,18,0,0,0.25,0.12,0.21,0.000
DP Michael (Samoa),2019-2019,2019,2019,0,4,1,3,0,32,1,Jan-32,32,10.66,18,0,0,0.25,0.09,0.20,0.000
SF Mire (ZIM),2018-2019,2018,2019,1,9,5,12,0,115,1,Jan-15,115,9.58,72,0,0,0.11,0.10,0.11,0.000
Mohammad Boota (UAE),2019-2019,2019,2019,0,16,1,1,0,13,1,Jan-13,13,13,6,0,0,0.06,0.08,0.07,0.000
Mohammad Rafique (BDESH),2006-2006,2006,2006,0,1,1,4,0,22,1,Jan-22,22,5.5,24,0,0,1.00,0.18,0.75,0.000
Mohammad Shahid (BDESH),2016-2016,2016,2016,0,1,1,3,0,32,1,Jan-32,32,10.66,18,0,0,1.00,0.09,0.73,0.000
MR Montfort (CAN),2019-2019,2019,2019,0,1,1,3,0,25,1,Jan-25,25,8.33,18,0,0,1.00,0.12,0.74,0.000
J Mubarak (SL),2007-2009,2007,2009,2,16,2,1.2,0,17,1,01-Sep,17,12.75,8,0,0,0.06,0.08,0.07,0.000
Muhammad Tanveer (QAT),2019-2019,2019,2019,0,15,3,8,0,63,1,Jan-29,63,7.87,48,0,0,0.07,0.13,0.08,0.000
D Muhumuza (UGA),2019-2019,2019,2019,0,4,3,5,0,35,1,Jan-15,35,7,30,0,0,0.25,0.14,0.22,0.000
EMDY Munaweera (SL),2012-2017,2012,2017,5,13,5,10,0,92,1,Jan-26,92,9.2,60,0,0,0.08,0.11,0.09,0.000
T Mupariwa (ZIM),2007-2008,2007,2008,1,4,4,13,0,94,1,Jan-22,94,7.23,78,0,0,0.25,0.14,0.22,0.000
Murid Ekrami (Belg),2019-2019,2019,2019,0,3,3,5,0,37,1,01-Oct,37,7.4,30,0,0,0.33,0.14,0.27,0.000
Najeeb Amar (HKG),2014-2014,2014,2014,0,1,1,3,0,29,1,Jan-29,29,9.66,18,0,0,1.00,0.10,0.73,0.000
NH Naureen (ESP),2019-2019,2019,2019,0,1,1,3,1,32,1,Jan-32,32,10.66,18,0,0,1.00,0.09,0.73,0.000
Naveed Ahmed (CZK-R),2019-2019,2019,2019,0,7,5,9,0,56,1,Jan-15,56,6.22,54,0,0,0.14,0.16,0.15,0.000
Nazakat Ali (NOR),2019-2019,2019,2019,0,2,2,3,0,16,1,01-Jun,16,5.33,18,0,0,0.50,0.19,0.41,0.000
Nazmul Hossain (BDESH),2009-2012,2009,2012,3,4,4,7,0,67,1,Jan-15,67,9.57,42,0,0,0.25,0.10,0.21,0.000
A Ndlovu (ZIM),2019-2019,2019,2019,0,3,3,11,0,90,1,Jan-35,90,8.18,66,0,0,0.33,0.12,0.27,0.000
R Neale (LUX),2019-2019,2019,2019,0,3,1,3,0,30,1,Jan-30,30,10,18,0,0,0.33,0.10,0.26,0.000
P Negi (INDIA),2016-2016,2016,2016,0,1,1,3,0,16,1,Jan-16,16,5.33,18,0,0,1.00,0.19,0.76,0.000
D Nikolov (),2019-2019,2019,2019,0,3,2,4,0,36,1,Jan-22,36,9,24,0,0,0.33,0.11,0.27,0.000
K Nima (BHU),2019-2019,2019,2019,0,1,1,3,0,22,1,Jan-22,22,7.33,18,0,0,1.00,0.14,0.74,0.000
Noman Kamawi (Belg),2019-2019,2019,2019,0,1,1,3,0,28,1,Jan-28,28,9.33,18,0,0,1.00,0.11,0.73,0.000
L Nou (PNG),2015-2015,2015,2015,0,3,3,10,0,65,1,Jan-24,65,6.5,60,0,0,0.33,0.15,0.28,0.000
E Ochieng (KENYA),2019-2019,2019,2019,0,2,2,4,0,30,1,Jan-18,30,7.5,24,0,0,0.50,0.13,0.39,0.000
JL Ontong (SA),2008-2015,2008,2015,7,14,4,6,0,83,1,Jan-25,83,13.83,36,0,0,0.07,0.07,0.07,0.000
AM Oyede (NGA),2019-2019,2019,2019,0,8,3,8,0,44,1,Jan-14,44,5.5,48,0,0,0.13,0.18,0.14,0.000
RJG Palmer (JER),2019-2019,2019,2019,0,2,2,4,0,27,1,01-Oct,27,6.75,24,0,0,0.50,0.15,0.39,0.000
MA Parker (SCOT),2012-2012,2012,2012,0,2,2,6,0,61,1,Jan-36,61,10.16,36,0,0,0.50,0.10,0.38,0.000
Parvez Rasool (INDIA),2017-2017,2017,2017,0,1,1,4,0,32,1,Jan-32,32,8,24,0,0,1.00,0.13,0.74,0.000
AY Patel (NZ),2018-2018,2018,2018,0,2,2,6,0,45,1,Jan-27,45,7.5,36,0,0,0.50,0.13,0.39,0.000
KP Pietersen (ENG),2005-2013,2005,2013,8,37,3,5,0,53,1,Jan-27,53,10.6,30,0,0,0.03,0.09,0.05,0.000
JE Pitcher (BMUDA),2019-2019,2019,2019,0,3,3,7,0,50,1,Jan-26,50,7.14,42,0,0,0.33,0.14,0.28,0.000
S Pokhriyal (CZK-R),2019-2019,2019,2019,0,5,1,2,0,22,1,Jan-22,22,11,12,0,0,0.20,0.09,0.17,0.000
M Pushpakumara (SL),2009-2009,2009,2009,0,1,1,3,0,27,1,Jan-27,27,9,18,0,0,1.00,0.11,0.73,0.000
Qasim Zia (BAH),2019-2019,2019,2019,0,3,3,9,0,68,1,Jan-17,68,7.55,54,0,0,0.33,0.13,0.27,0.000
Raag Kapur (HKG),2019-2019,2019,2019,0,4,3,7,0,49,1,Jan-26,49,7,42,0,0,0.25,0.14,0.22,0.000
RLB Rambukwella (SL),2013-2016,2013,2016,3,2,2,6.3,0,46,1,Jan-19,46,7.07,39,0,0,0.50,0.14,0.39,0.000
Ravinder Singh (MALTA),2019-2019,2019,2019,0,2,2,6,0,72,1,Jan-36,72,12,36,0,0,0.50,0.08,0.38,0.000
J Reb (Serb),2019-2019,2019,2019,0,2,1,3,0,40,1,Jan-40,40,13.33,18,0,0,0.50,0.08,0.37,0.000
GA Reynold (Blz),2019-2019,2019,2019,0,3,3,8,1,49,1,Jan-17,49,6.12,48,0,0,0.33,0.16,0.28,0.000
Riazat Ali Shah (UGA),2019-2019,2019,2019,0,4,3,7.4,0,58,1,Jan-20,58,7.56,46,0,0,0.25,0.13,0.21,0.000
R Rivas (Chile),2019-2019,2019,2019,0,3,1,4,0,45,1,Jan-45,45,11.25,24,0,0,0.33,0.09,0.26,0.000
Saber Zakhil (Belg),2019-2019,2019,2019,0,3,3,9,0,69,1,Jan-23,69,7.66,54,0,0,0.33,0.13,0.27,0.000
S Saeed (Mald),2019-2019,2019,2019,0,5,5,11,0,95,1,Jan-24,95,8.63,66,0,0,0.20,0.12,0.17,0.000
AM Samad (CAN),2008-2010,2008,2010,2,7,1,2,0,36,1,Jan-36,36,18,12,0,0,0.14,0.06,0.12,0.000
Sandeep Sharma (INDIA),2015-2015,2015,2015,0,2,2,7,0,73,1,Jan-39,73,10.42,42,0,0,0.50,0.10,0.38,0.000
I Sawmy (DEN),2019-2019,2019,2019,0,2,1,3,0,12,1,01-Dec,12,4,18,0,0,0.50,0.25,0.43,0.000
Shahzad Muhammad (Mex),2019-2019,2019,2019,0,2,1,3,0,29,1,Jan-29,29,9.66,18,0,0,0.50,0.10,0.38,0.000
Shaikh Ashraf (Peru),2019-2019,2019,2019,0,4,2,4,0,34,1,Jan-18,34,8.5,24,0,0,0.25,0.12,0.21,0.000
KV Sharma (INDIA),2014-2014,2014,2014,0,1,1,4,0,28,1,Jan-28,28,7,24,0,0,1.00,0.14,0.74,0.000
RG Sharma (INDIA),2007-2019,2007,2019,12,104,9,11.2,0,113,1,Jan-22,113,9.97,68,0,0,0.01,0.10,0.04,0.000
ZK Shem (VAN),2019-2019,2019,2019,0,5,3,6,0,72,1,Jan-36,72,12,36,0,0,0.20,0.08,0.17,0.000
LPC Silva (SL),2006-2011,2006,2011,5,16,2,3,0,15,1,01-Apr,15,5,18,0,0,0.06,0.20,0.10,0.000
BA Simango (Moz),2019-2019,2019,2019,0,2,1,3,0,21,1,Jan-21,21,7,18,0,0,0.50,0.14,0.39,0.000
T Singye (BHU),2019-2019,2019,2019,0,2,2,6,0,65,1,Jan-53,65,10.83,36,0,0,0.50,0.09,0.38,0.000
J Singye (BHU),2019-2019,2019,2019,0,2,2,8,0,69,1,Jan-28,69,8.62,48,0,0,0.50,0.12,0.38,0.000
JT Smuts (SA),2017-2018,2017,2018,1,8,6,12.4,0,101,1,Jan-19,101,7.97,76,0,0,0.13,0.13,0.13,0.000
Sufyan Mehmood (OMAN),2015-2019,2015,2019,4,3,3,5.3,0,39,1,Jan-22,39,7.09,33,0,0,0.33,0.14,0.28,0.000
Suhrid Roy (MALTA),2019-2019,2019,2019,0,1,1,4,0,44,1,Jan-44,44,11,24,0,0,1.00,0.09,0.73,0.000
CR Suryawanshi (SGP),2019-2019,2019,2019,0,3,1,2,0,13,1,Jan-13,13,6.5,12,0,0,0.33,0.15,0.28,0.000
Tafseer Ali (NOR),2019-2019,2019,2019,0,5,3,4,0,37,1,Jan-17,37,9.25,24,0,0,0.20,0.11,0.17,0.000
Taijul Islam (BDESH),2019-2019,2019,2019,0,2,2,7,0,58,1,Jan-26,58,8.28,42,0,0,0.50,0.12,0.39,0.000
Tanvir Ahmed (PAK),2010-2010,2010,2010,0,1,1,3,0,13,1,Jan-13,13,4.33,18,0,0,1.00,0.23,0.77,0.000
BRM Taylor (ZIM),2006-2019,2006,2019,13,38,2,5,0,17,1,Jan-16,17,3.4,30,0,0,0.03,0.29,0.11,0.000
SR Tendulkar (INDIA),2006-2006,2006,2006,0,1,1,2.3,0,12,1,01-Dec,12,4.8,15,0,0,1.00,0.21,0.76,0.000
EP Thompson (NZ),2008-2008,2008,2008,0,1,1,3,1,18,1,Jan-18,18,6,18,0,0,1.00,0.17,0.75,0.000
GC Tonge (WI),2009-2009,2009,2009,0,1,1,4,0,25,1,Jan-25,25,6.25,24,0,0,1.00,0.16,0.75,0.000
JJ Tucker (BMUDA),2019-2019,2019,2019,0,5,4,7,0,62,1,Jan-16,62,8.85,42,0,0,0.20,0.11,0.17,0.000
Umair Ali (UAE),2015-2015,2015,2015,0,3,2,4,0,28,1,Jan-13,28,7,24,0,0,0.33,0.14,0.28,0.000
DLS van Bunge (NL),2008-2013,2008,2013,5,14,2,2.2,0,15,1,Jan-14,15,6.42,14,0,0,0.07,0.16,0.10,0.000
C Vorster (GUE),2019-2019,2019,2019,0,1,1,3,0,32,1,Jan-32,32,10.66,18,0,0,1.00,0.09,0.73,0.000
Walid Ghauri (NOR),2019-2019,2019,2019,0,4,2,3.5,0,31,1,Jan-16,31,8.08,23,0,0,0.25,0.12,0.21,0.000
Washeem Abbas (MALTA),2019-2019,2019,2019,0,2,2,8,0,70,1,Jan-31,70,8.75,48,0,0,0.50,0.11,0.38,0.000
UWMBCA Welegedara (SL),2010-2010,2010,2010,0,2,2,6,0,61,1,Jan-21,61,10.16,36,0,0,0.50,0.10,0.38,0.000
CL White (AUS),2007-2014,2007,2014,7,47,5,7,0,51,1,01-Nov,51,7.28,42,0,0,0.02,0.14,0.06,0.000
T Whiteman (LUX),2019-2019,2019,2019,0,4,2,3.4,0,38,1,Jan-24,38,10.36,22,0,0,0.25,0.10,0.20,0.000
JD Wildermuth (AUS),2018-2018,2018,2018,0,2,2,3,0,32,1,Jan-16,32,10.66,18,0,0,0.50,0.09,0.38,0.000
LJ Woodcock (NZ),2010-2011,2010,2011,1,3,3,10,0,70,1,Jan-30,70,7,60,0,0,0.33,0.14,0.28,0.000
GH Worker (NZ),2015-2015,2015,2015,0,2,1,2,0,19,1,Jan-19,19,9.5,12,0,0,0.50,0.11,0.38,0.000
Yusuf Ebrahim (PNM),2019-2019,2019,2019,0,3,3,7,1,44,1,Jan-13,44,6.28,42,0,0,0.33,0.16,0.28,0.000
Zaheer Maqsood (UAE),2015-2016,2015,2016,1,3,3,9,0,80,1,Jan-29,80,8.88,54,0,0,0.33,0.11,0.27,0.000
Zamir Khan (AFG),2012-2012,2012,2012,0,1,1,4,0,26,1,Jan-26,26,6.5,24,0,0,1.00,0.15,0.75,0.000
Zawar Farid (UAE),2019-2019,2019,2019,0,4,2,4.1,0,35,1,Jan-34,35,8.4,25,0,0,0.25,0.12,0.21,0.000
C Zhuwao (ZIM),2008-2018,2008,2018,10,7,1,0.2,0,1,1,01-Jan,1,3,2,0,0,0.14,0.33,0.20,0.000
Zohaib Sarwar (PORT),2019-2019,2019,2019,0,4,4,7,0,51,1,01-Aug,51,7.28,42,0,0,0.25,0.14,0.22,0.000
M Zondeki (SA),2006-2006,2006,2006,0,1,1,3,0,41,1,Jan-41,41,13.66,18,0,0,1.00,0.07,0.72,0.000
Abdullah Mahmood (DEN),2019-2019,2019,2019,0,1,1,1,0,9,0,-,-,9,-,0,0,0.00,0.11,0.03,0.000
Abdullah Sheikh (NOR),2019-2019,2019,2019,0,2,1,1,0,13,0,-,-,13,-,0,0,0.00,0.08,0.02,0.000
Abdur Rauf (PAK),2008-2008,2008,2008,0,1,1,3,0,21,0,-,-,7,-,0,0,0.00,0.14,0.04,0.000
M Aboagye (Ghana),2019-2019,2019,2019,0,3,1,1,0,17,0,-,-,17,-,0,0,0.00,0.06,0.02,0.000
RA Abolarin (NGA),2019-2019,2019,2019,0,1,1,0.4,0,7,0,-,-,10.5,-,0,0,0.00,0.10,0.03,0.000
S Adedeji (NGA),2019-2019,2019,2019,0,6,1,2,0,21,0,-,-,10.5,-,0,0,0.00,0.10,0.03,0.000
Aftab Ahmed (BDESH),2006-2010,2006,2010,4,11,1,0.2,0,8,0,-,-,24,-,0,0,0.00,0.04,0.01,0.000
GJ Agius (MALTA),2019-2019,2019,2019,0,2,2,5,0,53,0,-,-,10.6,-,0,0,0.00,0.09,0.03,0.000
Ahmed Shehzad (PAK),2009-2019,2009,2019,10,59,1,1,0,10,0,-,-,10,-,0,0,0.00,0.10,0.03,0.000
DS Airee (NEPAL),2018-2019,2018,2019,1,18,1,2,0,23,0,-,-,11.5,-,0,0,0.00,0.09,0.03,0.000
Ameer Saiyed (Botsw),2019-2019,2019,2019,0,4,3,4,0,44,0,-,-,11,-,0,0,0.00,0.09,0.03,0.000
Ammad Uddin (BAH),2019-2019,2019,2019,0,4,1,0.1,0,1,0,-,-,6,-,0,0,0.00,0.17,0.05,0.000
Anasim Khan (BAH),2019-2019,2019,2019,0,4,4,14,0,119,0,-,-,8.5,-,0,0,0.00,0.12,0.04,0.000
J Anderson (IRE),2015-2015,2015,2015,0,4,1,1,0,13,0,-,-,13,-,0,0,0.00,0.08,0.02,0.000
DK Anefie (Ghana),2019-2019,2019,2019,0,4,4,12,0,72,0,-,-,6,-,0,0,0.00,0.17,0.05,0.000
Anowarul Islam (THAI),2019-2019,2019,2019,0,4,2,3,0,25,0,-,-,8.33,-,0,0,0.00,0.12,0.04,0.000
Ansar Iqbal (NOR),2019-2019,2019,2019,0,4,1,2,0,13,0,-,-,6.5,-,0,0,0.00,0.15,0.05,0.000
Aqib Iqbal (Aut),2019-2019,2019,2019,0,5,4,13,0,84,0,-,-,6.46,-,0,0,0.00,0.15,0.05,0.000
Arsalan Qadir (CAN),2010-2010,2010,2010,0,1,1,1,0,12,0,-,-,12,-,0,0,0.00,0.08,0.03,0.000
U Aryaman Sunil (SGP),2019-2019,2019,2019,0,2,2,3,0,28,0,-,-,9.33,-,0,0,0.00,0.11,0.03,0.000
Asad Ali (PAK),2013-2013,2013,2013,0,2,2,4,0,33,0,-,-,8.25,-,0,0,0.00,0.12,0.04,0.000
A Ashokan (CZK-R),2019-2019,2019,2019,0,2,1,2,0,16,0,-,-,8,-,0,0,0.00,0.13,0.04,0.000
Atif Ali Khan (UAE),2016-2016,2016,2016,0,1,1,4,0,43,0,-,-,10.75,-,0,0,0.00,0.09,0.03,0.000
Avi Dixit (SGP),2019-2019,2019,2019,0,1,1,1,0,15,0,-,-,15,-,0,0,0.00,0.07,0.02,0.000
P Awana (INDIA),2012-2012,2012,2012,0,2,2,6,0,71,0,-,-,11.83,-,0,0,0.00,0.08,0.03,0.000
KS Bagabena (Ghana),2019-2019,2019,2019,0,4,4,4.5,0,56,0,-,-,11.58,-,0,0,0.00,0.09,0.03,0.000
KMC Bandara (SL),2016-2016,2016,2016,0,1,1,1,0,11,0,-,-,11,-,0,0,0.00,0.09,0.03,0.000
GEF Barnett (CAN),2008-2010,2008,2010,2,5,1,1,0,11,0,-,-,11,-,0,0,0.00,0.09,0.03,0.000
GJ Batty (ENG),2009-2009,2009,2009,0,1,1,3,0,17,0,-,-,5.66,-,0,0,0.00,0.18,0.05,0.000
DE Bernard (WI),2009-2009,2009,2009,0,1,1,4,0,17,0,-,-,4.25,-,0,0,0.00,0.24,0.07,0.000
P Bharat Patel (PNM),2019-2019,2019,2019,0,2,2,5,0,40,0,-,-,8,-,0,0,0.00,0.13,0.04,0.000
Meet Bhavsar (KUW),2019-2019,2019,2019,0,9,1,1,0,11,0,-,-,11,-,0,0,0.00,0.09,0.03,0.000
RL Bhudia (KENYA),2007-2007,2007,2007,0,3,3,7.2,0,78,0,-,-,10.63,-,0,0,0.00,0.09,0.03,0.000
KK Bishnoi (),2019-2019,2019,2019,0,3,2,3,0,27,0,-,-,9,-,0,0,0.00,0.11,0.03,0.000
