Player,Span,Start_Year,End_Year,Career_Length,Mat,Inns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Wickets_Per_Match,Economy_Score,Bowling_Impact_Score,Five_Wicket_Rate
Zafar Iqbal (PAK),1995-1995,1995,1995,0,8,7,198,137,3,Feb-37,45.66,4.15,66,0,0,0.38,0.24,0.33,0.000
Zahid Ahmed (PAK),1987-1987,1987,1987,0,2,2,96,61,3,Feb-24,20.33,3.81,32,0,0,1.50,0.26,1.13,0.000
Aamer Yamin (PAK),2015-2018,2015,2018,3,4,4,156,154,2,Jan-38,77,5.92,78,0,0,0.50,0.17,0.40,0.000
Aamir Kaleem (OMAN),2019-2019,2019,2019,0,2,2,77,54,2,Feb-30,27,4.2,38.5,0,0,1.00,0.24,0.77,0.000
Abdullah Mazari (AFG),2010-2010,2010,2010,0,2,2,96,49,2,Jan-18,24.5,3.06,48,0,0,1.00,0.33,0.80,0.000
Ahmed Shehzad (PAK),2009-2017,2009,2017,8,81,9,115,140,2,Jan-22,70,7.3,57.5,0,0,0.02,0.14,0.06,0.000
Ali Asad (UAE),2004-2004,2004,2004,0,2,2,120,73,2,Feb-35,36.5,3.65,60,0,0,1.00,0.27,0.78,0.000
DI Allan (KENYA),2011-2013,2011,2013,2,5,4,112,80,2,Jan-22,40,4.28,56,0,0,0.40,0.23,0.35,0.000
GJAF Aponso (NL),1996-1996,1996,1996,0,5,5,242,257,2,Jan-57,128.5,6.37,121,0,0,0.40,0.16,0.33,0.000
Asad Ali (PAK),2013-2013,2013,2013,0,4,4,180,115,2,Jan-22,57.5,3.83,90,0,0,0.50,0.26,0.43,0.000
SV Bahutule (INDIA),1997-2003,1997,2003,6,8,7,294,283,2,Jan-31,141.5,5.77,147,0,0,0.25,0.17,0.23,0.000
A Balbirnie (IRE),2010-2019,2010,2019,9,64,3,60,68,2,Jan-26,34,6.8,30,0,0,0.03,0.15,0.07,0.000
MRCN Bandaratilleke (SL),1998-1998,1998,1998,0,3,3,144,111,2,Feb-34,55.5,4.62,72,0,0,0.67,0.22,0.53,0.000
MD Bates (NZ),2012-2012,2012,2012,0,2,2,84,52,2,Jan-24,26,3.71,42,0,0,1.00,0.27,0.78,0.000
S Bau (PNG),2016-2019,2016,2019,3,21,6,180,124,2,Feb-35,62,4.13,90,0,0,0.10,0.24,0.14,0.000
LS Bhandari (NEPAL),2018-2018,2018,2018,0,1,1,54,43,2,Feb-43,21.5,4.77,27,0,0,2.00,0.21,1.46,0.000
DR Briggs (ENG),2012-2012,2012,2012,0,1,1,60,39,2,Feb-39,19.5,3.9,30,0,0,2.00,0.26,1.48,0.000
JE Brinkley (SCOT),1999-1999,1999,1999,0,5,3,168,117,2,Jan-29,58.5,4.17,84,0,0,0.40,0.24,0.35,0.000
BS Browne (WI),1994-1994,1994,1994,0,4,4,180,156,2,Feb-50,78,5.2,90,0,0,0.50,0.19,0.41,0.000
PH Carlson (AUS),1979-1979,1979,1979,0,4,3,168,70,2,Jan-21,35,2.5,84,0,0,0.50,0.40,0.47,0.000
DL Chahar (INDIA),2018-2019,2018,2019,1,3,3,126,129,2,Jan-37,64.5,6.14,63,0,0,0.67,0.16,0.52,0.000
IM Chappell (AUS),1971-1980,1971,1980,9,16,2,42,23,2,Feb-14,11.5,3.28,21,0,0,0.13,0.30,0.18,0.000
GA Cope (ENG),1977-1978,1977,1978,1,2,2,112,35,2,Jan-16,17.5,1.87,56,0,0,1.00,0.53,0.86,0.000
CS Cowdrey (ENG),1985-1985,1985,1985,0,3,2,52,55,2,01-Mar,27.5,6.34,26,0,0,0.67,0.16,0.51,0.000
DJ Cullen (AUS),2006-2006,2006,2006,0,5,5,213,147,2,Feb-25,73.5,4.14,106.5,0,0,0.40,0.24,0.35,0.000
SM Curran (ENG),2018-2018,2018,2018,0,2,2,72,90,2,Feb-44,45,7.5,36,0,0,1.00,0.13,0.74,0.000
DDP D'Silva (UAE),2019-2019,2019,2019,0,3,2,102,71,2,Feb-20,35.5,4.17,51,0,0,0.67,0.24,0.54,0.000
D Daesrath (CAN),2012-2013,2012,2013,1,4,2,72,48,2,Jan-13,24,4,36,0,0,0.50,0.25,0.43,0.000
RR David (CAN),2008-2010,2008,2010,2,4,4,96,74,2,Feb-30,37,4.62,48,0,0,0.50,0.22,0.41,0.000
DLS de Silva (SL),1979-1979,1979,1979,0,2,2,120,54,2,Feb-36,27,2.7,60,0,0,1.00,0.37,0.81,0.000
BR Dorey (AUS),2006-2006,2006,2006,0,4,4,162,146,2,01-Dec,73,5.4,81,0,0,0.50,0.19,0.41,0.000
F du Plessis (SA),2011-2019,2011,2019,8,143,11,192,189,2,01-Aug,94.5,5.9,96,0,0,0.01,0.17,0.06,0.000
CE Eksteen (SA),1991-1994,1991,1994,3,6,6,222,181,2,Jan-26,90.5,4.89,111,0,0,0.33,0.20,0.29,0.000
D Elgar (SA),2012-2018,2012,2018,6,8,4,96,67,2,01-Nov,33.5,4.18,48,0,0,0.25,0.24,0.25,0.000
KADM Fernando (SL),2003-2003,2003,2003,0,1,1,42,13,2,Feb-13,6.5,1.85,21,0,0,2.00,0.54,1.56,0.000
MLC Foster (WI),1973-1973,1973,1973,0,2,1,30,22,2,Feb-22,11,4.4,15,0,0,1.00,0.23,0.77,0.000
RC Fredericks (WI),1973-1977,1973,1977,4,12,1,10,10,2,02-Oct,5,6,5,0,0,0.17,0.17,0.17,0.000
D Gamage (SL),2003-2003,2003,2003,0,3,3,95,83,2,Jan-26,41.5,5.24,47.5,0,0,0.67,0.19,0.52,0.000
WCA Ganegama (SL),2001-2006,2001,2006,5,4,3,66,88,2,Feb-27,44,8,33,0,0,0.50,0.13,0.39,0.000
Gazi Ashraf (BDESH),1986-1990,1986,1990,4,7,3,51,33,2,01-Jul,16.5,3.88,25.5,0,0,0.29,0.26,0.28,0.000
LR Gibbs (WI),1973-1975,1973,1975,2,3,3,156,59,2,01-Dec,29.5,2.26,78,0,0,0.67,0.44,0.60,0.000
Golam Faruq (BDESH),1986-1990,1986,1990,4,5,5,186,116,2,Jan-22,58,3.74,93,0,0,0.40,0.27,0.36,0.000
MS Gony (INDIA),2008-2008,2008,2008,0,2,2,78,76,2,Feb-65,38,5.84,39,0,0,1.00,0.17,0.75,0.000
TR Gripper (ZIM),2001-2003,2001,2003,2,8,6,120,76,2,Feb-28,38,3.8,60,0,0,0.25,0.26,0.25,0.000
TGJ Gruijters (NL),2010-2013,2010,2013,3,5,4,120,79,2,Feb-37,39.5,3.95,60,0,0,0.40,0.25,0.36,0.000
Hammad Azam (PAK),2011-2015,2011,2015,4,11,8,198,169,2,Jan-21,84.5,5.12,99,0,0,0.18,0.20,0.19,0.000
SM Harwood (AUS),2009-2009,2009,2009,0,1,1,60,57,2,Feb-57,28.5,5.7,30,0,0,2.00,0.18,1.45,0.000
R Hekure (PNG),2019-2019,2019,2019,0,1,1,60,32,2,Feb-32,16,3.2,30,0,0,2.00,0.31,1.49,0.000
CC Henry (CAN),1979-1979,1979,1979,0,2,2,90,53,2,Feb-27,26.5,3.53,45,0,0,1.00,0.28,0.78,0.000
O Henry (SA),1992-1992,1992,1992,0,3,3,149,125,2,Jan-31,62.5,5.03,74.5,0,0,0.67,0.20,0.53,0.000
H Hiri (PNG),2016-2019,2016,2019,3,7,4,60,56,2,01-Jun,28,5.6,30,0,0,0.29,0.18,0.25,0.000
RG Holland (AUS),1985-1985,1985,1985,0,2,2,126,99,2,Feb-49,49.5,4.71,63,0,0,1.00,0.21,0.76,0.000
MEK Hussey (AUS),2004-2012,2004,2012,8,185,13,240,235,2,Jan-22,117.5,5.87,120,0,0,0.01,0.17,0.06,0.000
AP Igglesden (ENG),1994-1994,1994,1994,0,4,4,168,122,2,02-Dec,61,4.35,84,0,0,0.50,0.23,0.42,0.000
Irfan Bhatti (PAK),1993-1993,1993,1993,0,1,1,48,22,2,Feb-22,11,2.75,24,0,0,2.00,0.36,1.51,0.000
Jahangir Shah (BDESH),1986-1990,1986,1990,4,5,5,234,172,2,Feb-23,86,4.41,117,0,0,0.40,0.23,0.35,0.000
K Jethi (CAN),2008-2008,2008,2008,0,3,3,102,85,2,Feb-39,42.5,5,51,0,0,0.67,0.20,0.53,0.000
LWS Kaluperuma (SL),1975-1982,1975,1982,7,4,4,208,137,2,Jan-35,68.5,3.95,104,0,0,0.50,0.25,0.43,0.000
SHT Kandamby (SL),2004-2014,2004,2014,10,39,9,174,173,2,Feb-37,86.5,5.96,87,0,0,0.05,0.17,0.09,0.000
CK Kapugedera (SL),2006-2017,2006,2017,11,102,10,264,225,2,Jan-24,112.5,5.11,132,0,0,0.02,0.20,0.07,0.000
VJ Kingma (NL),2014-2019,2014,2019,5,3,3,126,107,2,Jan-47,53.5,5.09,63,0,0,0.67,0.20,0.53,0.000
DB Kotze (NAM),2003-2003,2003,2003,0,6,6,282,256,2,Jan-32,128,5.44,141,0,0,0.33,0.18,0.29,0.000
GJP Kruger (SA),2006-2006,2006,2006,0,3,3,138,139,2,Jan-43,69.5,6.04,69,0,0,0.67,0.17,0.52,0.000
NR Kumar (CAN),2010-2014,2010,2014,4,16,2,66,63,2,Feb-40,31.5,5.72,33,0,0,0.13,0.17,0.14,0.000
AV Lalcheta (OMAN),2019-2019,2019,2019,0,2,2,84,62,2,Feb-35,31,4.42,42,0,0,1.00,0.23,0.77,0.000
Liaqat Ali (PAK),1977-1978,1977,1978,1,3,3,188,111,2,Jan-41,55.5,3.54,94,0,0,0.67,0.28,0.55,0.000
J Louw (SA),2008-2008,2008,2008,0,3,3,156,148,2,Jan-45,74,5.69,78,0,0,0.67,0.18,0.52,0.000
GD McKenzie (AUS),1971-1971,1971,1971,0,1,1,60,22,2,Feb-22,11,2.2,30,0,0,2.00,0.45,1.54,0.000
Mansoor Akhtar (PAK),1980-1990,1980,1990,10,41,9,138,110,2,01-Jul,55,4.78,69,0,0,0.05,0.21,0.10,0.000
GC Martin (ZIM),1994-1995,1994,1995,1,5,4,132,95,2,Jan-15,47.5,4.31,66,0,0,0.40,0.23,0.35,0.000
SC Meaker (ENG),2011-2011,2011,2011,0,2,2,114,110,2,Jan-45,55,5.78,57,0,0,1.00,0.17,0.75,0.000
KP Meiyappan (UAE),2019-2019,2019,2019,0,2,2,108,78,2,Feb-39,39,4.33,54,0,0,1.00,0.23,0.77,0.000
Mohammed Qasim (UAE),2017-2017,2017,2017,0,5,3,120,71,2,Jan-13,35.5,3.55,60,0,0,0.40,0.28,0.36,0.000
Morshed Ali Khan (BDESH),1998-1998,1998,1998,0,3,3,138,85,2,Jan-26,42.5,3.69,69,0,0,0.67,0.27,0.55,0.000
PV Mpitsang (SA),1999-1999,1999,1999,0,2,2,60,63,2,Feb-49,31.5,6.3,30,0,0,1.00,0.16,0.75,0.000
J Mubarak (SL),2002-2013,2002,2013,11,40,8,129,95,2,01-Oct,47.5,4.41,64.5,0,0,0.05,0.23,0.10,0.000
SP Mukherjee (INDIA),1990-1991,1990,1991,1,3,3,174,98,2,Jan-30,49,3.37,87,0,0,0.67,0.30,0.56,0.000
MG Neser (AUS),2018-2018,2018,2018,0,2,2,100,120,2,Feb-46,60,7.2,50,0,0,1.00,0.14,0.74,0.000
IA Nicolson (ZIM),2010-2010,2010,2010,0,2,2,72,118,2,Jan-44,59,9.83,36,0,0,1.00,0.10,0.73,0.000
KJ O'Keeffe (AUS),1977-1977,1977,1977,0,2,2,132,79,2,Jan-36,39.5,3.59,66,0,0,1.00,0.28,0.78,0.000
DR O'Sullivan (NZ),1974-1976,1974,1976,2,3,3,168,123,2,Jan-38,61.5,4.39,84,0,0,0.67,0.23,0.54,0.000
Parvez Rasool (INDIA),2014-2014,2014,2014,0,1,1,60,60,2,Feb-60,30,6,30,0,0,2.00,0.17,1.45,0.000
RR Patel (KENYA),2008-2014,2008,2014,6,39,7,168,135,2,Jan-14,67.5,4.82,84,0,0,0.05,0.21,0.10,0.000
R Pathan (CAN),2013-2013,2013,2013,0,1,1,36,50,2,Feb-50,25,8.33,18,0,0,2.00,0.12,1.44,0.000
J Patraj (CAN),2007-2007,2007,2007,0,2,2,90,76,2,Jan-27,38,5.06,45,0,0,1.00,0.20,0.76,0.000
HSM Pieris (SL),1975-1975,1975,1975,0,3,3,132,135,2,Feb-68,67.5,6.13,66,0,0,0.67,0.16,0.52,0.000
NV Radford (ENG),1988-1988,1988,1988,0,6,6,348,230,2,Jan-32,115,3.96,174,0,0,0.33,0.25,0.31,0.000
P Raho (PNG),2014-2014,2014,2014,0,1,1,45,32,2,Feb-32,16,4.26,22.5,0,0,2.00,0.23,1.47,0.000
WV Raman (INDIA),1988-1996,1988,1996,8,27,7,162,170,2,Jan-23,85,6.29,81,0,0,0.07,0.16,0.10,0.000
AN Ranasinghe (SL),1975-1982,1975,1982,7,9,8,324,281,2,Jan-21,140.5,5.2,162,0,0,0.22,0.19,0.21,0.000
NLK Ratnayake (SL),1989-1990,1989,1990,1,2,2,101,98,2,Jan-39,49,5.82,50.5,0,0,1.00,0.17,0.75,0.000
RA Reifer (WI),2019-2019,2019,2019,0,2,2,53,54,2,Feb-23,27,6.11,26.5,0,0,1.00,0.16,0.75,0.000
GJ Rennie (ZIM),1996-2003,1996,2003,7,40,4,90,75,2,Jan-17,37.5,5,45,0,0,0.05,0.20,0.10,0.000
CEB Rice (SA),1991-1991,1991,1991,0,3,3,138,114,2,Jan-46,57,4.95,69,0,0,0.67,0.20,0.53,0.000
EJ Richardson (IRE),2013-2013,2013,2013,0,2,2,66,54,2,Feb-39,27,4.9,33,0,0,1.00,0.20,0.76,0.000
Rizwan Latif (UAE),2004-2004,2004,2004,0,1,1,54,69,2,Feb-69,34.5,7.66,27,0,0,2.00,0.13,1.44,0.000
Robiul Islam (BDESH),2013-2013,2013,2013,0,3,3,133,117,2,Jan-21,58.5,5.27,66.5,0,0,0.67,0.19,0.52,0.000
LN Roche (ZIM),2018-2018,2018,2018,0,3,3,138,157,2,Jan-54,78.5,6.82,69,0,0,0.67,0.15,0.51,0.000
Rokhan Barakzai (AFG),2015-2015,2015,2015,0,1,1,60,45,2,Feb-45,22.5,4.5,30,0,0,2.00,0.22,1.47,0.000
Saadat Ali (PAK),1984-1984,1984,1984,0,8,2,27,29,2,Feb-24,14.5,6.44,13.5,0,0,0.25,0.16,0.22,0.000
Sadiq Mohammad (PAK),1973-1980,1973,1980,7,19,2,38,26,2,Feb-20,13,4.1,19,0,0,0.11,0.24,0.15,0.000
NA Saini (INDIA),2019-2019,2019,2019,0,1,1,60,58,2,Feb-58,29,5.8,30,0,0,2.00,0.17,1.45,0.000
Sajjad Akbar (PAK),1990-1990,1990,1990,0,2,1,60,45,2,Feb-45,22.5,4.5,30,0,0,1.00,0.22,0.77,0.000
RB Simpson (AUS),1978-1978,1978,1978,0,2,2,102,95,2,Feb-30,47.5,5.58,51,0,0,1.00,0.18,0.75,0.000
CL Smith (ENG),1984-1984,1984,1984,0,4,2,36,28,2,02-Aug,14,4.66,18,0,0,0.50,0.21,0.41,0.000
Sohail Butt (UAE),1994-1994,1994,1994,0,2,2,78,79,2,Feb-52,39.5,6.07,39,0,0,1.00,0.16,0.75,0.000
RW Staple (USA),2004-2004,2004,2004,0,2,1,60,76,2,Feb-76,38,7.6,30,0,0,1.00,0.13,0.74,0.000
PC Strydom (SA),2000-2000,2000,2000,0,10,7,252,206,2,Jan-18,103,4.9,126,0,0,0.20,0.20,0.20,0.000
T Taibu (Afr/ZIM),2001-2012,2001,2012,11,150,2,84,61,2,Feb-42,30.5,4.35,42,0,0,0.01,0.23,0.08,0.000
Tanvir Ahmed (PAK),2011-2011,2011,2011,0,2,2,60,83,2,Jan-38,41.5,8.3,30,0,0,1.00,0.12,0.74,0.000
DC Thomas (WI),2009-2013,2009,2013,4,21,1,7,11,2,02-Nov,5.5,9.42,3.5,0,0,0.10,0.11,0.10,0.000
PIC Thompson (WI),1997-1997,1997,1997,0,2,2,114,110,2,Jan-46,55,5.78,57,0,0,1.00,0.17,0.75,0.000
GP Thorpe (ENG),1993-2002,1993,2002,9,82,5,120,97,2,Feb-15,48.5,4.85,60,0,0,0.02,0.21,0.08,0.000
IJL Trott (ENG),2009-2013,2009,2013,4,68,10,183,166,2,Feb-31,83,5.44,91.5,0,0,0.03,0.18,0.08,0.000
CM Tuckett (WI),1998-1998,1998,1998,0,1,1,48,41,2,Feb-41,20.5,5.12,24,0,0,2.00,0.20,1.46,0.000
M van Jaarsveld (SA),2002-2004,2002,2004,2,11,2,31,18,2,1/0,9,3.48,15.5,0,0,0.18,0.29,0.21,0.000
M Venkataramana (INDIA),1988-1988,1988,1988,0,1,1,60,36,2,Feb-36,18,3.6,30,0,0,2.00,0.28,1.48,0.000
C Viljoen (NAM),2019-2019,2019,2019,0,2,2,30,14,2,02-Jun,7,2.8,15,0,0,1.00,0.36,0.81,0.000
KP Walmsley (NZ),2003-2003,2003,2003,0,2,2,120,117,2,Jan-53,58.5,5.85,60,0,0,1.00,0.17,0.75,0.000
GD Watson (AUS),1972-1972,1972,1972,0,2,1,48,28,2,Feb-28,14,3.5,24,0,0,1.00,0.29,0.79,0.000
DS Wesonga (KENYA),2010-2011,2010,2011,1,4,1,42,28,2,Feb-28,14,4,21,0,0,0.50,0.25,0.43,0.000
RK Whelan (IRE),2007-2007,2007,2007,0,2,2,90,99,2,Jan-43,49.5,6.6,45,0,0,1.00,0.15,0.75,0.000
CM Willoughby (SA),2000-2003,2000,2003,3,3,3,168,148,2,Feb-39,74,5.28,84,0,0,0.67,0.19,0.52,0.000
Yamin Ahmadzai (AFG),2015-2019,2015,2019,4,4,4,160,139,2,Jan-23,69.5,5.21,80,0,0,0.50,0.19,0.41,0.000
Zafar Gohar (PAK),2015-2015,2015,2015,0,1,1,60,54,2,Feb-54,27,5.4,30,0,0,2.00,0.19,1.46,0.000
Zahid Hussain (CAN),2011-2011,2011,2011,0,2,2,120,94,2,Jan-37,47,4.7,60,0,0,1.00,0.21,0.76,0.000
MZ Zahir (CAN),2009-2009,2009,2009,0,1,1,30,35,2,Feb-35,17.5,7,15,0,0,2.00,0.14,1.44,0.000
Zahir Khan (AFG),2019-2019,2019,2019,0,1,1,60,55,2,Feb-55,27.5,5.5,30,0,0,2.00,0.18,1.45,0.000
Aamer Hameed (PAK),1977-1978,1977,1978,1,2,2,88,38,1,Jan-32,38,2.59,88,0,0,0.50,0.39,0.47,0.000
SA Abbott (AUS),2014-2014,2014,2014,0,1,1,30,25,1,Jan-25,25,5,30,0,0,1.00,0.20,0.76,0.000
Ahmed Kamal (BDESH),1999-1999,1999,1999,0,1,1,30,39,1,Jan-39,39,7.8,30,0,0,1.00,0.13,0.74,0.000
DS Airee (NEPAL),2018-2019,2018,2019,1,6,3,78,51,1,Jan-19,51,3.92,78,0,0,0.17,0.26,0.19,0.000
GW Aldridge (NZ),2011-2011,2011,2011,0,2,2,114,98,1,Jan-45,98,5.15,114,0,0,0.50,0.19,0.41,0.000
Ali Khan (USA),2019-2019,2019,2019,0,1,1,30,23,1,Jan-23,23,4.6,30,0,0,1.00,0.22,0.77,0.000
Aminul Islam jnr (BDESH),1999-1999,1999,1999,0,1,1,30,33,1,Jan-33,33,6.6,30,0,0,1.00,0.15,0.75,0.000
Arshad Ali (UAE),2004-2008,2004,2008,4,4,3,102,105,1,01-May,105,6.17,102,0,0,0.25,0.16,0.22,0.000
Arshad Laeeq (UAE),1994-1996,1994,1996,2,6,6,198,198,1,Jan-25,198,6,198,0,0,0.17,0.17,0.17,0.000
B Arun (INDIA),1986-1987,1986,1987,1,4,4,102,103,1,Jan-43,103,6.05,102,0,0,0.25,0.17,0.22,0.000
Asim Saeed (UAE),2004-2004,2004,2004,0,2,2,54,40,1,Jan-25,40,4.44,54,0,0,0.50,0.23,0.42,0.000
KMC Bandara (SL),2016-2016,2016,2016,0,1,1,60,83,1,Jan-83,83,8.3,60,0,0,1.00,0.12,0.74,0.000
Basil Hameed (UAE),2019-2019,2019,2019,0,3,1,12,10,1,01-Oct,10,5,12,0,0,0.33,0.20,0.29,0.000
Basit Ali (PAK),1993-1996,1993,1996,3,50,2,30,21,1,Jan-17,21,4.2,30,0,0,0.02,0.24,0.09,0.000
RR Beaton (WI),2017-2017,2017,2017,0,2,2,102,102,1,Jan-60,102,6,102,0,0,0.50,0.17,0.40,0.000
JE Benjamin (ENG),1994-1995,1994,1995,1,2,2,72,47,1,Jan-22,47,3.91,72,0,0,0.50,0.26,0.43,0.000
K Birkenstock (NAM),2019-2019,2019,2019,0,5,1,6,5,1,01-May,5,5,6,0,0,0.20,0.20,0.20,0.000
BR Blair (NZ),1982-1986,1982,1986,4,14,2,30,34,1,01-Jul,34,6.8,30,0,0,0.07,0.15,0.09,0.000
GK Bose (INDIA),1974-1974,1974,1974,0,1,1,66,39,1,Jan-39,39,3.54,66,0,0,1.00,0.28,0.78,0.000
BP Bracewell (NZ),1978-1978,1978,1978,0,1,1,66,41,1,Jan-41,41,3.72,66,0,0,1.00,0.27,0.78,0.000
KC Brathwaite (WI),2016-2017,2016,2017,1,10,5,152,140,1,Jan-56,140,5.52,152,0,0,0.10,0.18,0.12,0.000
VR Brown (NZ),1988-1988,1988,1988,0,3,2,66,75,1,Jan-24,75,6.81,66,0,0,0.33,0.15,0.28,0.000
DE Budge (SCOT),2018-2019,2018,2019,1,3,2,36,26,1,Jan-21,26,4.33,36,0,0,0.33,0.23,0.30,0.000
MG Burgess (NZ),1973-1981,1973,1981,8,26,3,74,69,1,01-Oct,69,5.59,74,0,0,0.04,0.18,0.08,0.000
RG Callender (CAN),1979-1979,1979,1979,0,2,2,54,26,1,Jan-14,26,2.88,54,0,0,0.50,0.35,0.45,0.000
LOB Cann (BMUDA),2006-2009,2006,2009,3,26,4,100,129,1,Jan-34,129,7.74,100,0,0,0.04,0.13,0.07,0.000
SJ Chalmers (SCOT),2009-2009,2009,2009,0,2,2,60,49,1,Jan-34,49,4.9,60,0,0,0.50,0.20,0.41,0.000
S Chattergoon (WI),2006-2009,2006,2009,3,18,4,80,48,1,01-Jan,48,3.6,80,0,0,0.06,0.28,0.12,0.000
MT Chinouya (ZIM),2013-2013,2013,2013,0,2,2,66,50,1,Jan-36,50,4.54,66,0,0,0.50,0.22,0.42,0.000
KJ Coetzer (SCOT),2008-2019,2008,2019,11,59,7,179,203,1,Jan-35,203,6.8,179,0,0,0.02,0.15,0.06,0.000
MJ Cosgrove (AUS),2006-2006,2006,2006,0,3,2,30,13,1,01-Jan,13,2.6,30,0,0,0.33,0.38,0.35,0.000
CJ Dala (SA),2018-2018,2018,2018,0,2,2,102,121,1,Jan-57,121,7.11,102,0,0,0.50,0.14,0.39,0.000
Dawlat Ahmadzai (AFG),2009-2010,2009,2010,1,3,3,112,121,1,Jan-40,121,6.48,112,0,0,0.33,0.15,0.28,0.000
TN de Grooth (NL),2006-2013,2006,2013,7,34,1,6,2,1,01-Feb,2,2,6,0,0,0.03,0.50,0.17,0.000
BFW de Leede (NL),2018-2019,2018,2019,1,3,2,23,15,1,01-Mar,15,3.91,23,0,0,0.33,0.26,0.31,0.000
JL Denly (ENG),2009-2019,2009,2019,10,13,3,66,60,1,Jan-24,60,5.45,66,0,0,0.08,0.18,0.11,0.000
R Dhawan (INDIA),2016-2016,2016,2016,0,3,3,150,160,1,Jan-74,160,6.4,150,0,0,0.33,0.16,0.28,0.000
MS Dhoni (Asia/INDIA),2004-2019,2004,2019,15,350,2,36,31,1,Jan-14,31,5.16,36,0,0,0.00,0.19,0.06,0.000
PS Eaglestone (IRE),2008-2008,2008,2008,0,1,1,42,60,1,Jan-60,60,8.57,42,0,0,1.00,0.12,0.74,0.000
GN Edwards (NZ),1976-1981,1976,1981,5,6,1,6,5,1,01-May,5,5,6,0,0,0.17,0.20,0.18,0.000
Faisal Hossain (BDESH),2004-2010,2004,2010,6,6,2,73,53,1,Jan-27,53,4.35,73,0,0,0.17,0.23,0.19,0.000
Fakhar Zaman (PAK),2017-2019,2017,2019,2,46,7,135,111,1,Jan-19,111,4.93,135,0,0,0.02,0.20,0.08,0.000
TL Fernando (SL),1989-1989,1989,1989,0,1,1,18,16,1,Jan-16,16,5.33,18,0,0,1.00,0.19,0.76,0.000
SP Fleming (ICC/NZ),1994-2007,1994,2007,13,280,3,29,28,1,01-Aug,28,5.79,29,0,0,0.00,0.17,0.05,0.000
MJ Fourie (IRE),2007-2008,2007,2008,1,7,5,179,128,1,Jan-33,128,4.29,179,0,0,0.14,0.23,0.17,0.000
AN French (HKG),2004-2004,2004,2004,0,2,2,72,67,1,Jan-51,67,5.58,72,0,0,0.50,0.18,0.40,0.000
AD Gaekwad (INDIA),1975-1987,1975,1987,12,15,1,48,39,1,Jan-39,39,4.87,48,0,0,0.07,0.21,0.11,0.000
D Ganesh (INDIA),1997-1997,1997,1997,0,1,1,30,20,1,Jan-20,20,4,30,0,0,1.00,0.25,0.78,0.000
TN Garwe (ZIM),2009-2009,2009,2009,0,1,1,36,50,1,Jan-50,50,8.33,36,0,0,1.00,0.12,0.74,0.000
RS Gavaskar (INDIA),2004-2004,2004,2004,0,11,2,72,74,1,Jan-56,74,6.16,72,0,0,0.09,0.16,0.11,0.000
SM Gavaskar (INDIA),1974-1987,1974,1987,13,108,4,20,25,1,01-Oct,25,7.5,20,0,0,0.01,0.13,0.05,0.000
BD Glover (NL),2019-2019,2019,2019,0,1,1,60,37,1,Jan-37,37,3.7,60,0,0,1.00,0.27,0.78,0.000
Y Goonasekera (SL),1983-1983,1983,1983,0,3,2,36,35,1,Jan-24,35,5.83,36,0,0,0.33,0.17,0.28,0.000
EL Gouka (NL),1996-1996,1996,1996,0,3,2,22,51,1,Jan-32,51,13.9,22,0,0,0.33,0.07,0.25,0.000
VD Grandia (NL),2002-2002,2002,2002,0,1,1,30,40,1,Jan-40,40,8,30,0,0,1.00,0.13,0.74,0.000
CG Greenidge (WI),1975-1991,1975,1991,16,128,2,60,45,1,Jan-21,45,4.5,60,0,0,0.01,0.22,0.07,0.000
RD Gudhka (KENYA),2011-2011,2011,2011,0,2,2,78,60,1,Jan-41,60,4.61,78,0,0,0.50,0.22,0.42,0.000
Habibul Bashar (BDESH),1995-2007,1995,2007,12,111,6,175,142,1,Jan-31,142,4.86,175,0,0,0.01,0.21,0.07,0.000
LJ Hamilton (NZ),2005-2005,2005,2005,0,2,2,108,143,1,Jan-76,143,7.94,108,0,0,0.50,0.13,0.39,0.000
JR Hammond (AUS),1972-1972,1972,1972,0,1,1,54,41,1,Jan-41,41,4.55,54,0,0,1.00,0.22,0.77,0.000
MJ Haslam (NZ),1992-1992,1992,1992,0,1,1,30,28,1,Jan-28,28,5.6,30,0,0,1.00,0.18,0.75,0.000
DL Hemp (BMUDA),2006-2009,2006,2009,3,22,4,114,119,1,Jan-25,119,6.26,114,0,0,0.05,0.16,0.08,0.000
BE Hendricks (SA),2019-2019,2019,2019,0,4,3,126,106,1,Jan-50,106,5.04,126,0,0,0.25,0.20,0.23,0.000
RR Hendricks (SA),2018-2019,2018,2019,1,18,3,42,47,1,Jan-13,47,6.71,42,0,0,0.06,0.15,0.08,0.000
BJ Hodge (AUS),2005-2007,2005,2007,2,25,3,66,51,1,Jan-17,51,4.63,66,0,0,0.04,0.22,0.09,0.000
DW Hookes (AUS),1977-1986,1977,1986,9,39,3,29,28,1,01-Feb,28,5.79,29,0,0,0.03,0.17,0.07,0.000
DL Houghton (ZIM),1983-1997,1983,1997,14,63,1,12,19,1,Jan-19,19,9.5,12,0,0,0.02,0.11,0.04,0.000
Iftikhar Ahmed (PAK),2015-2019,2015,2019,4,4,4,138,101,1,Jan-31,101,4.39,138,0,0,0.25,0.23,0.24,0.000
